round,mlogloss
0,1.351398999626572
1,1.0896708417583156
2,0.910078535208831
3,0.7691131765778
4,0.6555992485703649
5,0.566874847218797
6,0.4962586728302208
7,0.4398704702789719
8,0.3823292859502741
9,0.344282907408637
10,0.3062007552063143
11,0.268388504112089
12,0.24238585197442286
13,0.21544407871929375
14,0.195770618279238
15,0.17458128506267392
16,0.16048595873085228
17,0.14461840880480972
18,0.1353831074729159
19,0.12797178282729677
20,0.12242905110926242
21,0.11736767210469053
22,0.10827755117537202
23,0.10325600111202614
24,0.10022858195510265
25,0.09903188633757669
26,0.09518505690770375
27,0.09304687977340576
28,0.08824016340076923
29,0.08544619932670046
30,0.0832799044311852
31,0.0810147455666919
32,0.08099592309696851
33,0.07834009624816277
34,0.07581707545732325
35,0.07509354976433757
36,0.07336357375606894
37,0.07194680116466574
38,0.07184651767759509
39,0.07079302449081395
40,0.06920965499169118
41,0.06849538645002286
42,0.06912440490103453
43,0.06770026976418858
44,0.06723889678943197
45,0.06612616172689642
46,0.06620067296348311
47,0.0658478232390071
48,0.0662147680272323
49,0.06615416953541539
